合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
CF705,11:29:50.0,15110,74842,15100,47,15110,13,202258,1.12712e+009
CF705,11:29:50.500,15110,74842,15105,25,15110,13,202258,1.12712e+009
CF705,11:29:51.0,15110,74842,15105,26,15110,13,202258,1.12712e+009
CF705,11:29:52.0,15110,74848,15105,22,15110,11,202254,1.12721e+009
CF705,11:29:52.500,15110,74852,15105,22,15110,9,202250,1.12727e+009
CF705,11:29:55.0,15115,74894,15105,1,15115,13,202220,1.1279e+009
CF705,11:29:55.500,15115,74894,15105,7,15115,18,202220,1.1279e+009
CF705,11:29:57.500,15115,74898,15105,7,15115,16,202218,1.12796e+009
CF705,11:29:58.0,15120,74950,15110,25,15120,51,202228,1.12875e+009
CF705,11:29:58.500,15120,74952,15110,25,15120,50,202230,1.12878e+009
CF705,11:29:59.0,15120,74952,15110,26,15120,50,202230,1.12878e+009
